100 300
70 21 5
57 37 405
33 89 305
50 98 17
65 98 267
1 8 149
51 14 427
82 60 484
20 24 495
42 78 432
21 71 191
86 69 336
24 37 303
60 24 63
96 11 315
4 71 410
72 93 24
97 85 257
35 17 62
95 94 477
8 30 195
44 12 220
76 45 355
61 84 78
31 12 459
1 47 371
36 48 483
20 74 98
99 18 176
23 33 449
94 96 101
41 17 10
68 97 92
41 90 59
16 80 472
30 9 467
86 20 290
56 78 381
46 78 249
51 60 399
90 12 376
100 88 101
68 22 27
8 70 183
66 16 174
97 51 299
62 63 99
69 28 34
20 72 336
5 96 371
31 39 416
22 19 460
41 14 63
55 85 193
86 12 462
13 71 282
62 49 352
78 66 8
87 1 169
41 28 82
7 26 36
91 23 401
46 57 281
16 56 478
99 72 300
71 70 464
91 79 435
27 29 215
12 83 171
37 13 484
94 62 267
28 61 94
52 20 136
79 70 107
1 83 20
17 23 177
63 83 486
23 90 61
35 79 140
16 20 247
33 45 353
28 67 225
92 45 438
98 22 485
50 19 359
49 29 480
24 90 456
80 11 407
9 62 60
21 30 53
77 23 208
20 86 113
11 29 286
32 77 205
24 44 109
20 90 16
65 29 56
1 24 310
2 56 216
27 75 176
92 17 175
17 53 352
15 49 303
98 61 292
46 99 342
6 26 281
64 16 25
39 91 489
55 8 276
54 37 293
10 68 79
4 33 28
38 22 208
27 6 479
43 59 247
99 61 42
3 32 290
73 87 363
33 31 296
12 74 492
87 73 91
48 46 161
77 74 161
72 97 68
2 86 473
67 86 54
92 44 104
49 92 102
95 2 462
1 92 402
30 32 163
3 84 306
34 41 225
33 90 461
42 81 51
73 86 68
50 39 66
54 57 42
70 15 49
75 46 494
87 16 66
70 53 494
50 70 224
31 92 296
50 25 157
100 39 242
96 58 5
22 33 197
7 43 336
11 24 147
30 91 190
17 45 82
92 79 73
69 36 307
74 19 461
65 52 396
4 64 112
1 21 326
73 79 141
57 51 214
42 88 203
13 2 218
95 47 67
26 75 79
84 64 423
20 64 239
68 90 99
94 66 445
16 31 464
78 35 256
78 32 413
51 17 76
100 9 247
50 93 215
23 5 83
39 82 22
13 77 36
96 59 173
94 12 386
62 38 473
85 20 360
26 40 39
75 40 136
64 58 412
63 79 294
9 27 490
21 22 365
29 11 258
58 67 136
32 73 8
58 65 214
51 45 468
96 26 52
44 78 299
26 56 74
77 85 375
9 100 57
97 77 54
93 74 289
70 29 450
43 21 139
100 91 246
23 63 159
33 68 62
17 10 104
94 61 273
22 53 467
21 85 262
92 95 181
19 25 237
98 48 96
47 6 452
82 73 93
62 78 460
63 23 180
90 67 246
61 2 257
91 82 316
45 16 103
9 33 373
69 19 63
42 97 200
24 6 171
48 16 222
75 11 108
31 59 259
63 24 373
58 84 211
98 88 432
74 91 132
51 85 167
99 13 330
82 93 309
36 97 450
62 32 269
48 69 300
88 99 446
25 29 405
65 72 340
92 11 408
6 84 137
94 22 65
82 81 40
20 65 57
100 57 421
13 78 138
2 84 301
1 90 288
6 39 274
84 91 96
63 64 471
13 68 365
95 53 384
3 34 147
64 13 113
64 35 232
1 12 269
92 93 414
53 26 491
56 17 219
31 51 357
91 22 403
56 90 444
79 88 79
44 97 213
38 94 415
32 27 479
72 68 295
16 60 149
90 17 417
3 6 268
95 48 483
76 35 317
44 56 348
86 33 290
33 26 285
30 10 267
13 96 215
55 48 11
77 26 312
79 97 107
43 79 240
56 19 235
36 11 374
18 63 405
13 49 5
82 29 296
2 61 230
93 68 289
70 90 251
44 34 431
99 11 127
77 34 303
4 97 489
86 22 348
70 68 228
66 100 416
56 49 263
74 21 295
95 23 467
