30 90
5 16 138
16 12 429
18 11 117
5 20 265
15 17 339
21 3 341
5 10 146
19 29 99
28 21 11
14 29 141
3 28 429
27 5 56
10 27 96
4 26 297
15 27 275
28 30 49
18 23 407
4 5 357
16 18 6
19 23 275
25 13 124
12 7 247
10 21 440
8 16 234
19 7 92
24 16 16
23 26 10
11 26 355
13 23 32
25 22 284
27 17 196
19 22 25
9 16 470
24 20 229
1 11 15
15 2 65
28 19 202
11 1 408
8 14 218
23 5 323
14 22 224
6 14 254
1 8 350
22 26 184
16 10 223
23 12 374
11 21 134
20 10 190
29 8 225
23 22 481
7 6 225
27 15 161
22 2 305
8 17 160
23 6 468
6 2 22
8 4 27
7 13 30
9 2 456
12 28 276
12 3 57
8 20 171
27 8 204
2 14 398
2 27 52
26 18 165
10 2 31
17 6 184
16 30 91
14 5 490
22 28 42
13 3 289
1 29 227
4 22 383
11 28 215
29 17 108
12 25 186
29 27 264
26 5 496
16 22 35
19 3 217
15 26 439
6 30 405
5 2 137
14 27 44
24 19 286
15 19 413
23 2 331
17 20 189
30 3 103
