400 1000
253 108 90
215 29 194
391 102 450
38 183 216
358 220 345
294 88 153
67 275 335
246 391 85
154 24 126
276 228 116
66 81 165
64 214 473
173 21 84
154 349 22
246 340 255
213 186 227
158 264 406
45 270 499
156 343 272
400 53 49
257 351 8
1 379 119
325 212 496
285 354 383
31 208 375
115 129 132
21 48 181
215 388 391
339 81 201
162 369 190
189 172 309
65 332 337
13 375 108
175 121 202
310 154 493
232 185 217
75 275 356
69 357 365
158 45 174
23 388 19
105 106 459
58 70 454
247 293 350
251 299 482
21 388 462
391 226 414
13 393 205
169 397 485
247 360 144
148 283 259
311 181 400
172 311 258
144 311 397
296 227 47
386 327 7
292 126 305
50 54 383
336 208 73
26 389 306
91 62 244
287 352 440
109 139 200
377 1 270
362 225 198
182 315 144
339 207 92
388 400 9
268 35 141
315 313 389
160 319 498
211 152 86
97 309 383
133 179 477
155 72 400
353 8 14
119 367 361
157 33 34
206 216 189
100 12 6
148 203 171
229 205 480
68 254 156
190 242 423
247 14 127
118 282 363
294 148 175
5 7 242
96 90 204
206 31 28
131 169 134
191 182 176
285 145 225
281 392 329
318 339 429
50 97 185
262 12 11
302 111 391
397 21 255
250 273 243
123 317 448
173 359 411
112 60 92
234 267 66
29 336 433
215 362 227
127 64 166
360 308 94
107 313 228
366 20 110
311 56 378
292 55 329
47 121 337
14 63 127
374 286 227
361 260 239
264 178 474
155 144 435
356 100 460
278 236 394
233 172 42
364 290 493
389 262 482
254 58 193
50 392 237
263 211 122
174 129 441
254 181 307
286 36 184
159 44 348
164 132 336
207 179 251
269 15 122
107 20 242
267 149 90
380 352 199
35 208 65
167 8 29
221 7 143
165 80 303
352 1 229
288 132 386
362 394 42
308 369 8
178 257 211
331 197 300
192 306 224
110 181 60
232 57 217
327 98 260
251 92 29
206 222 278
361 254 418
100 216 2
255 93 38
302 395 378
341 280 433
307 230 458
99 13 363
183 259 279
137 162 266
351 361 215
176 99 426
91 400 133
281 354 439
363 185 91
283 162 232
64 62 70
42 314 82
221 100 439
47 356 207
382 84 163
190 336 31
59 265 445
351 358 144
204 226 301
36 266 162
116 72 487
203 307 310
215 188 412
255 109 223
129 24 70
385 372 271
292 230 176
213 103 72
397 393 212
295 231 133
280 240 295
140 267 494
179 188 329
358 239 192
261 132 479
368 140 443
54 207 465
297 380 102
87 255 69
264 157 163
358 94 249
54 91 127
110 205 153
58 200 466
384 55 286
332 97 451
382 56 10
220 221 325
246 268 223
79 51 445
309 322 397
29 396 196
17 383 109
352 377 170
236 304 94
4 293 419
323 185 486
208 4 209
177 282 294
8 272 420
321 236 50
71 108 84
147 81 52
31 8 124
143 139 116
256 302 451
46 161 405
347 77 312
158 262 304
311 357 120
233 71 14
321 121 350
196 266 396
150 200 447
175 116 388
12 193 264
378 120 329
301 372 147
186 372 494
275 64 329
74 101 8
256 58 37
149 8 411
87 176 498
329 323 125
134 396 435
19 395 217
352 42 491
195 158 247
143 259 200
267 291 270
280 368 482
182 26 412
165 148 387
87 182 300
251 289 487
250 71 207
37 141 256
358 225 94
309 62 133
110 130 175
151 220 54
337 125 376
149 380 338
201 146 304
295 186 121
177 312 478
173 33 312
301 296 290
382 268 148
205 122 413
50 367 475
9 395 72
11 327 162
357 216 57
325 390 319
31 36 239
286 134 436
74 234 319
14 330 107
245 85 490
264 12 262
334 77 15
90 197 446
235 283 74
289 300 179
172 156 265
296 304 417
315 356 470
137 375 127
362 266 337
79 141 133
231 386 442
84 357 11
318 308 424
194 40 429
79 193 193
176 7 103
78 181 57
87 158 443
305 86 151
297 91 308
381 26 481
84 205 183
21 89 198
191 176 19
337 104 307
139 350 296
392 308 212
151 332 303
201 251 196
120 336 471
360 140 426
352 60 153
110 368 429
313 102 405
386 192 399
118 75 184
345 85 377
365 99 97
184 272 255
12 389 232
37 319 1
304 20 1
182 272 26
390 142 26
149 141 405
182 366 72
38 349 133
325 174 167
249 60 21
183 9 124
145 31 351
311 336 184
236 283 20
219 300 337
392 33 23
271 170 204
257 128 87
214 170 114
211 317 45
241 158 420
110 138 378
101 253 110
393 187 241
384 161 318
120 297 275
393 305 19
273 43 136
155 187 114
337 299 104
259 51 110
280 18 166
182 288 129
63 216 238
178 363 46
51 34 323
54 94 223
398 288 90
330 247 250
70 45 340
143 56 143
8 37 243
309 249 236
197 283 113
225 369 80
194 388 116
335 323 92
123 298 74
368 284 131
75 7 304
92 290 460
24 391 135
84 35 79
192 128 75
301 248 233
160 42 387
145 373 100
179 127 104
83 125 127
272 86 354
392 197 395
380 309 16
3 328 489
83 369 154
302 352 92
351 268 249
331 186 139
358 113 424
43 14 134
80 151 291
148 27 396
120 121 40
166 60 352
100 214 221
218 392 418
38 115 127
159 280 476
265 269 327
168 44 88
37 30 422
205 62 205
183 246 22
327 125 391
240 313 233
57 211 248
152 84 166
392 314 496
67 65 362
219 287 62
262 106 356
208 100 9
264 88 20
4 383 292
20 92 423
212 330 481
258 375 217
92 123 459
206 372 193
37 8 253
168 38 82
78 261 163
20 391 324
302 385 157
355 89 268
225 130 138
164 282 302
140 156 215
315 157 435
312 109 493
328 287 248
110 189 414
206 180 256
236 89 158
399 165 158
45 341 62
338 61 93
152 118 71
239 207 100
270 11 270
172 56 8
85 232 330
74 260 56
166 204 438
64 9 97
216 83 13
143 359 404
189 48 51
220 91 161
42 155 285
260 104 10
375 366 460
272 263 477
22 107 390
290 11 169
383 323 398
224 37 103
152 147 406
306 39 222
277 78 2
348 35 82
121 278 370
375 345 183
78 126 308
304 213 80
111 169 31
79 248 144
94 230 398
358 40 177
64 11 93
195 87 455
212 322 55
346 328 471
51 183 499
283 399 94
290 225 101
104 203 381
139 118 351
276 232 336
10 73 113
171 365 467
322 73 391
396 233 341
127 38 366
253 92 152
103 370 201
383 270 207
331 134 257
6 244 458
378 20 106
370 139 434
352 290 291
3 189 13
230 252 373
109 81 110
163 110 413
374 353 24
206 303 97
109 175 251
70 68 281
367 114 27
251 4 369
106 219 26
389 45 178
41 92 440
261 148 15
69 385 237
4 2 104
294 86 351
256 321 412
22 60 44
87 209 245
78 16 448
42 101 441
36 306 486
290 35 113
278 152 45
226 156 393
22 37 30
115 141 153
349 365 484
107 99 114
153 344 316
237 164 31
364 392 170
226 338 289
353 350 449
342 357 105
286 40 479
13 103 194
325 10 126
211 373 124
189 77 361
228 4 64
293 35 263
322 294 13
366 392 376
292 59 417
63 214 279
185 187 418
47 273 155
194 376 45
130 17 249
94 205 399
224 9 257
141 127 279
97 396 308
119 302 66
351 81 453
264 215 412
44 11 248
195 189 366
312 42 447
134 295 80
299 50 255
296 266 214
123 272 71
295 159 105
348 9 410
62 124 31
303 257 71
258 298 139
286 305 413
332 368 364
152 18 289
68 1 5
349 389 472
147 340 389
212 36 253
328 66 228
272 245 210
104 308 332
235 147 205
88 83 190
193 302 123
54 356 159
263 192 422
275 97 177
236 78 186
211 79 440
65 208 200
223 301 154
347 280 209
130 111 310
222 372 273
354 56 135
256 355 400
233 157 59
138 74 190
123 61 178
100 168 127
228 346 479
35 85 500
391 383 196
208 60 495
218 45 461
279 73 45
81 37 317
105 331 79
111 240 40
145 137 249
345 82 154
352 181 32
266 166 192
194 149 31
281 121 353
138 109 497
344 15 17
124 382 11
356 17 426
92 336 311
1 78 207
276 76 427
353 372 274
330 20 493
297 90 78
153 179 157
358 125 360
193 98 407
218 3 8
255 193 387
376 290 196
291 101 165
256 87 146
368 171 164
18 144 344
227 243 337
117 37 204
292 393 249
389 294 491
129 267 13
14 304 380
175 271 312
111 179 148
248 32 323
71 360 335
219 94 323
191 147 403
261 21 169
