300 900
184 67 159
105 199 269
65 238 155
275 289 291
194 295 61
42 266 440
90 177 485
227 191 119
104 266 130
35 52 14
282 194 25
118 130 18
71 28 229
294 97 383
186 200 240
256 101 108
179 113 71
267 204 201
122 300 448
189 285 46
226 202 203
267 269 360
277 219 419
254 41 68
60 292 156
148 32 198
252 11 140
229 266 410
11 78 58
276 84 441
33 85 414
144 210 61
113 241 252
250 123 461
266 156 57
290 136 315
50 29 409
18 240 304
258 187 414
64 186 479
278 158 254
127 140 259
171 295 311
176 30 370
283 207 79
26 98 496
253 178 194
115 213 441
71 290 317
277 105 109
131 15 89
112 89 281
209 221 363
205 56 419
11 276 115
42 193 263
297 135 492
272 13 102
7 68 389
139 203 20
120 158 264
110 245 247
70 77 211
20 166 136
5 224 453
150 47 232
264 26 428
203 28 197
101 27 144
36 250 142
237 184 384
271 158 395
74 106 416
13 184 69
71 11 112
252 201 47
259 97 387
87 69 328
30 46 340
110 151 320
10 129 163
266 263 196
128 15 332
174 272 449
146 100 7
98 131 30
262 4 47
15 98 363
94 114 118
206 188 195
261 181 121
294 44 221
146 264 467
256 111 403
173 31 335
97 45 442
117 260 366
31 120 276
6 117 145
160 275 493
291 174 482
218 103 6
109 70 34
133 102 257
104 281 280
145 1 263
198 170 53
140 129 491
104 30 331
185 193 343
37 20 40
230 297 79
108 100 69
59 77 373
206 27 161
100 108 263
278 160 281
214 225 343
164 280 41
175 129 488
9 240 170
90 142 129
59 288 221
50 265 230
208 13 91
156 207 87
266 55 449
62 23 390
184 245 39
187 221 332
98 120 299
160 155 71
23 93 199
282 56 334
192 87 408
132 208 379
295 208 150
51 210 166
224 191 10
190 177 495
186 240 313
24 66 358
271 60 454
95 22 476
163 261 439
260 276 396
50 144 275
29 151 246
277 92 323
52 287 126
227 184 287
125 152 417
78 149 351
12 91 362
135 94 288
51 14 111
23 191 84
8 169 255
146 261 246
107 101 322
159 68 196
195 31 101
135 229 467
156 22 111
138 76 327
41 213 420
52 291 79
59 51 6
191 194 238
243 161 69
81 228 74
5 213 394
4 133 24
135 237 272
230 237 379
167 22 432
48 292 245
153 255 454
298 86 359
121 156 468
282 188 24
106 276 461
65 80 41
273 188 323
116 193 347
199 118 56
151 295 139
158 178 472
143 225 382
241 119 286
283 244 53
261 101 272
209 196 397
42 26 293
1 290 405
283 139 32
239 251 423
67 129 480
255 20 219
135 299 41
153 171 396
36 166 268
289 223 18
206 45 302
127 284 215
79 66 410
23 300 406
108 149 98
226 56 208
197 275 238
284 101 8
161 90 39
71 262 41
258 300 307
24 60 218
111 60 113
146 296 472
275 54 251
37 86 155
32 183 104
182 214 428
280 258 277
163 87 72
121 147 398
17 183 409
284 52 265
273 107 63
283 197 463
272 144 179
248 299 58
244 186 157
187 180 299
242 195 360
185 97 368
225 245 186
206 292 176
164 278 67
246 129 85
215 220 434
269 146 230
95 212 95
132 171 180
259 152 188
101 138 237
274 108 331
282 91 133
112 211 126
300 74 291
264 85 51
49 163 4
249 257 391
262 234 481
246 121 24
208 67 253
155 281 157
120 288 237
81 19 157
51 260 215
202 80 446
175 122 59
196 98 307
169 124 291
134 235 190
215 126 40
69 219 430
146 16 319
141 261 246
146 18 478
160 274 216
45 69 299
252 268 167
167 92 370
176 73 342
217 143 66
142 207 492
255 260 175
286 224 494
106 263 40
32 180 145
171 204 48
275 156 40
238 45 399
170 189 217
162 47 84
210 82 239
269 22 332
244 284 34
256 206 448
25 186 470
259 171 96
9 243 423
95 159 13
266 81 362
217 61 435
177 146 161
274 106 179
258 79 259
38 62 107
293 228 270
188 117 493
294 246 36
81 284 156
20 44 195
111 51 410
274 55 31
86 69 159
127 252 480
44 157 380
1 5 300
181 56 402
260 273 297
120 144 443
284 195 12
63 262 479
103 181 170
240 90 468
135 186 105
296 252 395
193 130 315
14 223 299
222 35 164
236 234 356
18 132 226
88 26 410
101 22 246
273 79 492
201 233 225
76 237 483
254 16 132
184 4 401
153 42 487
21 165 360
256 192 298
252 230 367
167 210 306
140 233 390
80 133 489
68 209 120
174 178 414
182 245 87
160 71 435
27 257 438
142 240 80
137 83 131
168 47 75
158 207 472
172 232 433
205 285 201
286 245 329
8 276 286
145 194 47
96 141 102
147 91 312
109 152 135
193 294 188
197 33 66
131 128 462
192 14 205
294 45 219
282 69 462
200 240 319
170 126 488
198 273 261
67 134 149
189 270 145
128 295 141
265 22 5
286 260 393
82 112 264
51 274 496
19 223 194
112 260 425
55 259 258
178 147 176
141 55 471
26 107 46
203 155 200
159 155 459
45 20 479
64 14 83
146 91 294
235 150 86
136 249 459
192 230 480
5 112 8
195 43 122
274 122 9
234 146 189
172 67 190
148 129 315
137 53 231
207 267 238
273 201 422
242 163 240
282 72 215
57 80 354
215 219 131
62 298 428
11 234 12
98 223 85
202 238 268
150 221 152
170 133 285
151 198 182
189 259 269
240 209 77
149 223 133
277 53 198
96 171 349
28 231 407
163 299 155
97 48 305
112 273 222
183 291 146
257 159 227
77 240 334
31 228 374
110 271 160
173 20 185
52 255 450
53 291 18
219 256 36
228 263 260
20 168 444
80 83 27
277 163 186
66 230 378
84 291 364
171 168 215
286 23 179
259 24 494
178 290 136
293 58 97
247 57 143
11 137 483
149 179 110
151 154 108
167 224 371
45 112 207
204 26 144
24 279 6
19 10 136
236 70 367
217 218 489
127 131 276
73 55 482
58 288 10
148 22 377
99 171 320
162 53 178
43 136 310
102 207 414
186 169 138
66 260 119
128 169 326
43 246 60
94 272 16
242 91 473
283 56 73
150 239 31
12 196 497
272 91 314
54 234 104
117 268 67
42 157 175
244 7 73
298 2 451
164 12 157
44 205 92
225 208 261
135 14 288
107 204 216
58 36 409
249 281 87
122 109 391
278 142 449
24 19 260
32 222 454
178 288 452
288 240 435
206 11 248
287 253 258
178 198 315
276 41 341
134 28 187
225 105 248
122 96 363
50 155 74
122 26 291
239 195 101
76 198 225
226 257 134
239 171 217
40 118 26
297 34 441
188 139 174
199 53 450
178 74 202
296 182 113
252 63 127
121 98 139
154 236 484
82 120 450
32 245 361
71 101 127
66 16 87
147 8 32
167 131 430
43 83 118
206 142 319
249 10 110
197 26 40
290 218 384
184 150 71
79 142 226
167 155 419
5 245 171
280 18 148
248 132 284
21 102 141
46 226 238
223 192 452
157 216 99
183 271 246
91 253 219
242 114 289
86 89 158
165 48 373
247 43 475
67 135 476
89 191 118
136 46 112
88 14 402
211 13 89
276 68 234
235 80 442
202 180 349
167 66 409
21 236 79
118 170 277
34 208 223
300 224 32
292 42 283
3 178 214
73 270 23
151 203 370
264 200 261
150 275 422
28 142 140
157 24 350
130 46 471
75 200 357
97 278 321
257 90 165
47 212 177
259 107 257
143 226 123
54 39 399
89 91 474
74 228 232
130 127 216
131 239 432
175 246 182
43 117 198
41 194 276
104 254 66
65 42 116
237 116 313
107 67 171
197 60 98
100 2 104
240 272 214
8 186 248
264 281 67
254 67 16
243 201 298
33 65 88
86 3 185
248 60 107
93 288 225
127 226 485
114 60 23
237 241 299
66 293 482
136 158 261
298 80 84
203 86 136
72 261 202
269 79 363
155 143 123
168 153 57
54 178 229
6 238 304
56 117 88
255 84 381
164 129 119
239 72 134
32 125 173
55 225 320
207 140 442
185 235 428
123 55 433
288 222 80
122 60 357
113 120 25
3 222 264
268 117 290
53 253 317
123 19 36
55 154 448
207 70 402
114 8 271
106 101 294
41 191 79
214 42 354
49 192 310
94 212 382
208 210 57
229 297 17
133 289 321
78 136 29
138 230 180
139 60 276
280 217 114
143 217 166
171 126 317
63 225 296
262 164 136
121 65 269
270 65 276
196 177 16
217 278 219
269 88 346
14 82 147
221 218 177
83 39 394
60 250 312
212 198 171
166 274 233
117 222 218
186 44 193
74 175 132
133 67 252
299 173 21
157 65 105
268 159 23
149 61 104
29 55 380
31 3 495
156 200 69
175 64 100
137 3 457
13 37 47
112 77 178
23 229 480
52 214 296
194 155 101
15 121 190
150 216 259
53 16 445
196 260 461
77 159 90
47 200 433
176 184 66
210 19 56
115 14 10
231 75 283
300 91 325
193 216 394
85 46 223
20 230 108
124 284 372
79 277 65
38 191 212
7 279 445
62 93 283
205 161 13
81 138 458
179 117 293
162 156 83
252 197 304
7 219 305
80 72 188
200 87 494
128 85 212
277 174 463
280 47 91
43 55 228
219 74 159
51 127 35
181 174 483
93 103 314
219 112 374
88 172 177
141 127 96
227 206 6
98 53 83
197 38 273
271 135 369
193 58 331
80 104 318
40 74 159
175 196 11
178 78 404
230 121 253
233 135 462
118 63 122
172 138 158
34 233 168
4 81 468
82 125 47
214 157 392
145 30 235
299 292 26
70 110 266
248 276 352
108 21 10
194 261 205
121 136 230
23 109 269
35 42 192
148 128 352
291 216 171
