40 1400
4 5 293
29 19 373
30 3 386
2 24 478
38 1 104
40 14 260
9 1 413
37 23 32
25 40 492
27 4 128
10 40 410
16 29 206
31 7 411
7 25 144
6 29 109
32 3 356
8 20 161
8 13 429
13 4 244
23 26 454
40 38 464
39 36 383
21 9 319
14 20 11
6 23 470
25 15 199
5 13 55
3 2 453
18 23 470
38 6 96
21 36 353
26 16 427
16 26 427
34 5 219
36 22 199
11 21 245
5 27 344
26 27 210
26 36 171
4 7 499
31 2 48
27 6 249
8 36 366
7 31 48
25 11 171
15 19 25
13 32 235
6 24 49
24 1 52
24 38 469
27 3 364
13 22 265
24 18 346
18 13 388
17 13 1
8 21 307
35 4 137
27 26 99
9 8 399
30 16 435
27 23 157
21 1 185
13 35 50
5 4 140
14 12 181
7 14 497
7 6 355
40 29 162
34 30 316
24 36 359
39 31 383
30 7 151
33 23 284
37 25 439
32 12 228
11 15 303
15 30 35
33 13 237
26 28 95
25 26 263
31 17 202
36 8 75
25 7 455
2 1 199
29 8 4
14 3 33
22 8 486
9 32 244
37 19 227
24 3 434
5 18 225
13 27 291
39 30 484
39 18 104
29 37 371
17 2 144
29 25 455
22 4 180
38 12 441
6 4 391
24 29 143
13 37 442
3 10 426
20 39 413
6 18 78
39 33 290
6 2 471
9 34 418
16 6 385
24 6 135
11 32 237
31 12 462
29 10 40
20 12 30
19 9 66
9 17 138
20 17 438
39 13 444
13 34 413
18 26 472
18 24 8
11 18 426
1 32 408
16 11 431
21 10 59
1 28 50
33 31 79
2 6 79
14 25 285
12 28 440
39 25 428
2 13 158
9 30 271
40 11 217
5 29 295
38 35 437
3 26 184
38 18 482
21 37 39
3 25 286
27 9 271
3 36 130
40 23 398
13 30 44
22 27 100
14 37 92
4 18 409
5 14 364
14 31 212
21 23 245
8 32 434
1 24 271
27 38 29
5 21 55
3 14 2
17 14 121
19 40 86
29 6 380
8 29 387
28 11 171
39 4 276
23 9 221
17 37 225
7 20 412
31 37 89
25 19 439
37 6 363
25 14 364
36 12 375
28 9 30
20 4 491
26 4 401
10 26 212
22 6 168
34 31 363
18 22 353
24 37 191
18 28 401
26 5 181
32 21 343
12 8 183
15 20 229
25 8 35
31 11 90
6 17 348
19 34 8
13 7 264
