2500 7000
92 1230 456
664 2001 90
105 1377 220
2499 1 297
941 2102 69
1415 379 64
154 541 399
1832 669 208
1168 1357 491
1811 2120 11
1352 547 432
42 1866 306
2163 975 50
1693 2103 50
1047 1664 257
1587 346 455
1706 1821 128
752 113 311
1905 1882 35
617 1393 280
44 899 270
2230 1552 141
2494 1748 486
2459 1277 296
1411 889 124
980 1023 153
2279 2361 428
1271 700 110
1227 106 221
2016 451 193
1028 1962 375
793 88 411
991 1989 31
1691 1085 29
1639 91 393
2340 1221 241
2284 1628 40
40 1853 291
2077 1022 442
271 1835 214
1708 1365 442
2404 463 167
732 438 253
71 131 286
2013 1847 455
2006 1152 175
947 546 127
1940 1075 120
1414 902 17
2304 36 231
472 2495 63
129 536 26
2170 366 128
523 2038 248
2224 2015 205
1100 2087 260
1757 1382 259
1904 184 349
27 2058 6
374 198 413
1531 1475 56
1976 2395 466
1366 2193 168
1335 1441 329
171 1898 203
38 2373 308
557 1829 471
1397 276 498
435 1679 311
1066 953 197
153 1945 331
2090 783 28
280 1034 71
2105 1671 45
338 348 207
619 2240 156
809 2128 466
2214 2450 409
929 117 101
890 1348 343
1276 269 497
171 1346 495
84 1012 27
1014 1413 441
2209 2371 189
2293 862 417
162 1345 46
10 2346 207
2314 2016 73
1993 1249 202
1526 2418 386
2244 1272 468
302 444 129
1384 799 463
2038 718 389
1255 1168 436
2048 54 455
1184 1499 239
2001 2087 344
2035 1881 229
1991 1507 468
39 1159 221
1100 1924 2
20 588 319
1225 223 179
859 1828 432
2384 1072 70
237 149 429
1825 2467 470
2427 515 303
913 2069 252
226 2072 281
132 1283 458
1462 1491 407
138 517 359
2052 1724 197
221 774 485
1522 928 122
165 2478 294
411 1263 359
195 1031 117
1435 731 377
700 708 267
196 2478 182
1196 621 155
704 187 456
413 2239 76
2217 819 93
1316 616 79
1900 2188 117
426 465 485
1950 2257 116
745 2082 221
2409 1227 171
644 593 53
741 1054 161
1388 1089 69
1062 1714 29
2237 2154 128
41 1783 106
1331 2467 476
160 144 242
1520 815 348
1755 1239 264
1829 1440 292
2343 1810 218
953 2395 35
390 1210 490
961 346 133
1828 2111 200
2056 2214 161
2475 397 110
824 34 411
637 910 450
1594 2140 91
647 1377 451
2028 2061 238
1735 1163 479
362 1414 496
100 2061 300
1514 1113 68
2216 628 151
1212 1740 141
1937 1358 333
2414 281 130
234 456 152
1013 1382 78
151 766 4
1736 1655 282
1939 1268 323
386 1706 11
1749 1301 245
1992 941 147
2301 1676 245
1837 2057 317
698 1694 229
1029 799 358
1971 841 396
2165 2044 111
472 2273 4
847 879 404
2277 637 290
2432 341 55
55 1428 230
1864 965 16
1837 458 480
603 1834 376
613 1764 463
579 2340 298
1723 2107 429
29 262 4
2233 2218 234
1457 1905 417
1219 471 68
1288 594 142
89 110 378
2149 507 409
1013 1459 100
133 1242 31
592 1731 203
740 2242 92
700 663 179
1634 1320 129
2406 2403 164
631 388 463
646 1801 325
760 24 319
1490 2204 325
702 1985 56
1331 1546 126
1566 665 150
2075 2396 251
989 846 190
1036 1040 162
1355 707 44
1755 889 429
633 562 191
258 1939 207
1744 1246 456
2441 904 430
754 2447 144
2283 2210 309
223 219 225
695 699 209
506 915 394
717 1493 9
1273 816 322
902 1744 241
2025 569 128
1886 697 318
742 113 94
1928 273 21
451 1538 13
851 927 16
1709 888 236
2431 1454 470
1806 286 60
1631 2481 434
386 236 137
17 585 34
2401 1258 218
1625 1050 40
1533 2403 65
575 1988 463
2196 435 467
1181 901 384
664 417 123
126 699 25
1685 1426 468
184 916 125
2187 313 436
1043 332 89
1686 2318 471
2172 1477 180
2094 352 175
711 2031 183
1333 1936 199
1846 933 97
836 1639 134
899 2157 433
777 534 170
1596 1867 443
1007 31 111
1900 1141 364
966 1062 293
1650 820 363
923 1550 329
1497 2393 26
1195 2368 427
2136 1493 283
1814 1202 485
2180 578 286
186 2173 217
619 1709 253
2329 1308 312
1947 1003 433
1668 1817 368
428 576 357
660 2061 253
1937 130 241
121 1764 79
1387 1578 171
655 305 275
2200 588 430
1942 1909 328
320 188 441
1693 1915 29
24 1130 18
458 1591 341
1230 192 173
567 1665 38
2204 1784 490
2374 1376 380
1833 20 406
869 2447 88
768 1165 43
693 435 486
1419 1030 304
2209 783 19
687 1824 222
2211 1241 171
645 2425 453
2113 220 305
2297 506 379
1428 1386 391
1296 1466 62
1838 806 123
2232 92 475
1836 309 340
1669 1768 117
653 329 250
403 1074 209
157 1806 297
2164 309 236
1521 2403 204
1756 412 238
1209 1819 381
568 2203 354
2373 219 197
2291 2497 220
1372 1301 259
1786 634 25
644 1908 74
42 2297 7
2176 1859 149
1692 747 8
1235 1447 492
2471 2032 474
1084 1572 46
1465 1136 66
1654 701 428
1143 891 469
1890 1533 21
283 1641 355
2353 884 434
1132 1581 23
2349 1154 355
1235 1803 246
29 1995 78
302 1679 394
1258 1782 256
2168 1727 227
1186 127 198
189 544 201
1017 956 129
2101 957 422
2051 463 266
886 49 322
2174 436 384
860 2462 247
960 1868 441
1187 1287 200
1953 853 434
2184 2247 388
1362 519 326
2469 1605 34
2203 857 257
1873 2415 149
53 1067 218
701 811 53
1902 1989 232
1619 415 362
2162 1633 22
1573 1975 203
268 1554 287
1848 1584 2
648 40 367
1968 2368 333
1675 1029 150
1006 54 34
293 349 33
895 1389 55
684 2485 339
1865 475 352
1807 2389 73
978 939 397
236 111 283
1811 994 49
1592 482 51
1635 1514 12
1418 1525 13
1549 644 14
513 1455 294
1034 1972 9
83 636 312
2121 251 18
638 557 189
