50 200
46 16 26
6 49 29
32 22 225
50 18 344
6 30 433
13 32 386
20 12 121
30 21 341
13 7 470
8 12 232
39 7 368
50 4 396
41 39 409
31 20 213
25 31 357
45 21 375
27 50 258
20 33 94
14 22 492
3 15 62
2 44 133
2 42 242
29 27 328
39 16 314
49 20 429
48 4 368
4 17 458
16 23 437
5 13 39
14 27 75
23 37 236
24 25 497
39 34 317
49 42 56
42 5 170
43 18 402
37 7 4
15 25 48
32 7 405
46 26 457
16 47 156
42 12 458
37 24 89
26 28 490
32 47 66
4 7 314
42 18 107
26 39 329
43 15 419
45 33 107
37 10 331
39 21 401
29 19 330
35 48 306
50 47 490
37 14 377
22 36 278
24 14 11
38 13 104
11 26 479
31 37 146
11 41 276
34 23 204
42 49 26
18 25 482
14 4 245
23 21 232
40 35 191
38 41 148
37 26 470
25 16 285
19 23 290
24 31 396
16 46 477
31 18 132
17 19 80
41 14 204
42 28 359
26 36 410
17 34 236
9 32 36
34 24 402
12 45 63
6 5 352
41 48 124
50 1 109
45 22 178
4 3 150
1 39 14
12 11 389
47 27 85
10 21 112
21 29 36
35 18 428
42 3 291
21 48 172
38 19 478
25 50 32
49 15 293
10 47 87
50 28 301
41 42 271
3 4 107
48 41 130
40 31 158
24 11 153
29 32 6
17 16 365
40 28 154
22 30 214
44 10 95
12 47 281
7 42 382
39 2 245
37 39 255
30 25 251
5 27 224
9 5 319
50 36 404
12 41 93
28 17 419
44 28 89
22 42 281
39 3 142
47 28 248
23 1 53
47 18 248
45 7 425
5 34 435
25 8 20
40 50 74
9 35 162
27 49 268
44 27 264
47 32 439
17 12 456
28 29 445
4 14 307
11 28 248
7 46 330
29 22 314
21 27 205
36 32 20
29 34 407
32 31 154
3 40 66
21 50 376
36 10 4
46 43 398
15 41 168
10 9 114
46 45 405
20 30 33
23 34 35
4 12 90
45 2 49
1 9 65
30 35 4
15 3 38
18 19 450
44 5 400
32 49 145
34 37 96
18 22 260
15 42 291
40 27 293
45 41 374
33 49 345
35 28 156
16 5 465
33 1 380
16 2 334
18 38 441
6 40 347
38 6 491
8 28 96
14 42 219
40 32 28
27 12 2
23 31 332
26 40 260
19 26 275
23 15 407
35 19 474
16 29 123
38 23 340
31 36 354
28 44 117
16 40 222
27 41 484
32 50 366
33 46 145
50 14 162
43 34 189
2 21 336
42 16 482
46 27 115
41 4 80
22 18 78
12 23 40
