500 1500
315 120 329
166 498 498
191 319 259
296 73 53
413 188 12
238 341 284
383 292 354
172 360 291
99 365 4
402 186 484
416 395 211
107 137 309
265 220 49
327 292 63
206 255 350
42 479 111
355 411 405
274 236 330
23 334 307
412 261 256
485 3 289
388 479 474
499 296 10
396 6 247
88 236 139
35 76 384
446 198 309
426 248 471
201 342 20
133 306 261
224 336 492
390 278 460
193 39 245
446 320 454
6 208 28
100 480 384
465 365 115
56 425 166
24 240 212
44 196 240
8 30 204
212 342 392
171 242 185
192 270 79
269 173 400
112 91 407
432 490 451
490 92 88
485 239 103
328 181 391
142 180 193
105 494 422
425 342 129
106 421 490
488 175 109
454 180 373
320 376 152
238 109 187
125 242 339
488 178 179
468 496 19
56 205 379
417 393 308
192 488 40
398 297 303
143 306 318
247 54 361
37 391 134
499 468 371
242 202 263
436 397 149
19 162 321
256 444 83
54 43 246
455 77 284
177 413 50
313 367 141
460 493 116
354 189 397
429 358 161
354 110 315
51 17 312
84 397 355
395 360 188
362 463 415
292 7 198
71 161 262
397 273 438
487 310 72
32 259 357
57 79 174
350 315 368
78 43 169
94 376 102
410 275 481
389 123 306
96 199 24
166 1 486
268 452 21
355 66 261
61 90 276
190 108 307
461 4 289
267 208 496
260 131 146
27 64 454
12 317 213
453 269 455
363 132 85
207 102 223
415 131 191
386 36 432
467 272 33
276 323 394
365 193 48
323 10 13
27 443 118
303 52 272
101 308 126
188 361 253
34 353 188
58 253 322
461 320 359
43 66 499
66 450 481
431 378 254
234 264 162
28 188 320
403 204 370
235 20 126
139 421 489
190 245 459
336 129 351
183 296 150
389 309 124
120 36 158
420 236 38
9 318 464
74 466 428
265 380 142
23 38 336
116 239 415
201 105 206
125 377 159
282 130 389
147 47 135
417 436 13
84 469 134
485 397 38
387 81 242
264 361 261
100 44 24
85 210 233
233 116 280
387 434 494
487 407 272
337 153 153
375 488 84
27 189 408
357 477 74
152 393 178
150 109 143
494 408 461
495 236 5
35 151 102
468 134 265
110 176 245
180 412 127
351 290 41
454 244 193
202 260 64
476 497 235
426 121 291
344 136 196
435 15 109
414 150 336
7 439 191
48 434 309
37 154 133
459 363 99
167 409 427
24 37 256
426 499 254
68 482 417
443 203 41
15 472 133
334 354 286
258 62 235
322 324 476
154 100 226
35 129 8
490 391 464
192 487 312
177 220 326
80 413 59
487 238 224
330 454 437
475 462 477
272 289 354
150 350 373
349 399 151
328 442 95
10 70 244
438 108 223
332 279 276
458 249 273
169 490 188
77 30 307
120 15 96
460 471 71
313 382 301
36 302 335
365 49 378
80 357 288
62 104 55
297 432 242
394 212 312
320 166 474
231 249 323
211 90 140
462 171 251
187 137 327
226 366 356
182 347 203
296 134 42
102 229 479
207 137 339
37 359 222
360 477 274
492 348 395
230 327 408
173 428 258
292 351 142
257 99 294
297 383 385
230 400 354
405 201 360
250 415 139
254 360 311
195 222 499
30 55 476
295 28 374
136 375 495
349 218 464
188 300 244
104 435 66
204 384 203
152 289 426
211 142 157
482 430 314
238 239 426
374 237 280
183 352 268
484 498 256
302 295 120
160 1 282
51 22 238
32 225 99
417 282 142
331 140 187
39 69 356
380 419 196
171 68 141
30 82 68
344 204 226
409 306 378
246 140 92
173 467 330
172 86 268
399 345 380
63 1 363
465 367 362
150 293 315
98 41 108
403 78 298
485 74 391
256 271 224
67 479 487
337 357 391
469 234 136
15 467 162
262 4 128
467 129 247
402 262 161
467 99 388
239 451 88
74 141 426
430 12 27
119 432 246
118 400 149
235 48 373
124 193 199
6 421 148
324 433 150
14 134 377
290 23 243
384 392 207
179 413 295
320 148 213
333 72 433
359 337 95
194 127 114
92 159 481
57 270 365
117 361 257
85 364 317
398 18 236
241 131 413
185 83 122
366 449 245
145 10 337
326 434 175
44 93 48
76 287 290
257 170 70
288 461 398
435 361 432
263 368 408
259 370 153
89 293 316
110 384 471
177 6 183
436 255 149
449 391 304
123 155 97
128 249 378
12 76 499
145 144 147
467 92 184
431 66 153
236 140 432
394 80 149
249 288 421
238 489 463
242 16 323
65 415 362
473 471 241
245 111 205
84 343 210
422 480 97
151 124 493
212 445 348
411 495 287
333 274 431
137 74 366
40 436 142
397 270 15
372 231 415
461 353 471
489 65 184
137 485 205
500 167 181
234 14 387
100 283 287
209 344 456
186 277 56
77 121 64
214 207 44
248 451 149
18 53 497
487 132 429
70 468 488
426 395 378
50 382 37
310 197 276
255 31 132
441 328 74
282 269 63
404 379 39
301 185 367
410 17 29
177 278 479
319 405 306
473 207 118
19 237 275
191 121 181
42 171 269
43 361 450
194 421 451
233 32 104
178 149 258
431 194 392
87 155 278
385 443 272
149 465 66
211 299 138
226 374 156
223 425 242
312 260 393
128 251 87
139 282 222
459 73 361
47 312 475
199 274 299
1 385 317
340 43 90
105 21 401
89 297 404
216 281 139
160 213 295
233 420 256
213 477 365
3 197 176
169 48 331
143 135 12
370 151 149
186 431 95
332 24 320
183 27 240
208 35 411
369 468 312
301 423 58
47 51 224
263 156 52
53 355 92
426 377 95
114 463 412
338 306 144
106 293 51
27 4 387
27 279 375
265 465 64
201 169 174
246 281 193
123 48 258
462 238 479
290 362 426
311 387 303
188 340 222
473 168 341
232 69 285
383 146 471
423 439 96
177 477 453
244 85 470
137 111 198
104 451 280
241 65 119
460 473 329
348 246 96
320 28 96
128 186 380
90 178 211
314 65 444
246 256 358
9 149 263
312 261 355
4 476 274
196 314 189
140 453 365
319 112 288
286 216 12
55 141 109
272 281 340
182 52 128
303 63 495
474 168 331
384 104 39
254 92 373
176 170 1
415 222 234
277 145 388
499 258 381
194 152 361
362 430 356
280 192 44
213 400 191
359 207 147
458 280 145
14 488 32
51 26 268
377 425 172
253 397 67
447 44 367
437 21 182
94 17 156
256 311 318
170 8 321
103 391 160
319 113 247
218 206 14
124 52 11
43 300 381
435 394 486
120 161 315
353 291 100
16 13 355
118 159 194
453 468 317
30 204 407
255 355 258
177 383 209
336 40 193
433 282 400
27 23 213
384 163 187
191 103 382
190 124 51
272 287 3
294 210 252
377 67 227
367 215 243
392 84 54
152 342 200
220 322 332
8 380 18
364 113 318
71 33 399
216 462 348
452 361 323
335 328 172
238 415 86
410 18 439
271 179 228
451 102 334
156 279 80
123 227 244
220 401 157
381 186 75
157 362 410
484 93 65
150 63 352
165 47 220
133 92 252
183 1 499
311 440 144
423 314 376
200 246 441
311 455 300
208 227 206
435 60 167
149 353 301
55 253 221
246 239 128
211 296 323
236 184 196
410 414 37
460 342 176
234 108 475
17 22 193
265 172 373
341 175 196
118 16 169
450 287 263
298 443 62
267 395 308
264 292 366
175 151 7
250 396 252
208 121 475
343 176 384
12 463 118
144 212 344
269 413 342
51 493 363
367 471 33
182 21 289
256 30 214
471 411 387
223 364 83
191 274 159
430 493 109
173 108 153
224 115 34
282 62 149
454 274 231
136 2 260
376 218 365
498 59 423
399 298 217
46 423 494
401 198 159
67 79 222
376 118 333
312 256 368
365 165 280
84 447 351
281 194 32
459 244 311
355 145 436
258 309 485
121 56 375
296 163 280
381 401 189
217 150 216
203 435 228
449 167 210
447 376 345
440 412 380
21 496 455
164 391 408
441 58 312
358 58 468
27 230 198
231 251 375
170 198 492
207 442 432
160 404 384
418 331 1
235 295 289
276 158 328
99 389 371
445 96 94
155 325 74
368 486 287
255 467 2
173 273 482
149 470 238
225 176 490
203 198 203
13 203 277
217 413 299
271 38 323
173 357 424
432 325 279
294 79 286
3 72 294
317 438 467
210 487 29
143 291 332
339 422 136
316 195 346
315 189 111
199 8 89
36 15 115
270 457 58
63 435 60
38 237 288
240 362 137
77 40 144
3 323 376
121 208 63
22 420 223
399 414 303
187 134 385
425 186 56
115 298 336
142 83 333
164 47 1
191 179 487
278 205 139
135 282 379
109 121 350
354 81 289
398 111 225
408 494 81
53 27 449
154 98 124
43 356 338
381 279 394
367 473 363
