5000 12000
2759 2343 25
477 3756 245
2500 926 343
1359 2458 43
644 3997 490
922 4341 247
2717 383 266
4928 2761 4
2255 3031 383
103 241 73
3061 4676 287
997 3864 297
934 3088 203
3319 75 149
2797 1095 279
1360 3680 201
23 3245 455
1800 3586 100
1881 3058 3
2894 3534 248
4319 4559 5
2189 3334 333
1023 4911 333
4935 1439 411
3412 1487 22
1055 1145 53
3285 3773 113
278 1125 153
2789 2264 202
4053 4684 106
2071 745 319
474 929 122
4769 2513 249
2107 584 82
511 4553 259
891 3313 2
4621 1824 57
1377 742 106
3102 2544 233
3007 3580 384
1082 167 185
3404 2497 278
482 2871 254
199 779 63
4998 2945 96
2642 1082 343
4641 1480 71
1541 1619 101
410 2492 19
2305 4988 343
4278 3984 385
1776 3129 235
3325 2749 495
680 1555 256
2873 3157 409
3827 1509 384
2487 3832 271
2658 2343 424
4467 3309 145
3706 763 354
2576 1830 432
1567 541 211
2642 2905 491
14 1934 302
34 4820 82
3228 3328 117
3243 2033 336
1082 2454 470
429 1312 43
4446 2611 250
1783 2881 500
1685 1587 192
1402 2142 257
1243 3595 392
2407 1604 121
4530 3715 241
3946 2091 161
1921 4131 284
1235 3943 109
398 888 499
4536 3865 14
2929 4944 12
2463 3696 384
818 4798 307
4525 3484 467
3694 2343 496
871 855 477
4377 4036 154
3971 1940 181
1330 2075 30
261 4501 481
4027 1185 43
1844 1731 151
3457 4700 187
2808 1283 81
1314 4002 260
4059 4560 406
1194 44 259
1280 654 252
2212 3617 317
4235 2372 484
4562 604 483
3816 3122 316
4418 4384 205
4696 2932 160
3819 279 258
2075 2339 463
2839 3470 7
4755 336 248
2420 4469 305
658 2747 482
2244 2593 304
1130 2451 414
4066 692 268
301 2944 285
4243 3213 222
1352 3811 391
4438 2346 185
697 540 202
4098 4365 461
3952 4891 213
3392 2118 317
2497 4195 152
4881 3280 399
4520 3062 219
2220 1480 310
2120 1264 478
823 1829 450
1564 2149 51
1132 1621 151
1766 2400 396
4681 2410 257
1736 3653 244
