40 160
29 2 282
17 39 154
14 31 101
15 18 229
6 18 285
5 21 211
9 28 233
9 5 321
36 21 468
25 11 289
36 31 38
7 30 431
9 1 224
27 2 143
24 35 332
40 15 197
27 21 150
11 24 292
3 7 207
3 24 171
8 27 183
23 35 120
17 7 212
30 5 437
29 6 363
7 1 145
2 13 409
4 17 10
16 20 45
19 29 44
11 4 112
29 12 250
36 30 178
36 19 372
25 22 290
27 18 127
5 6 386
35 2 447
33 10 89
10 28 232
24 4 370
31 21 349
1 40 394
26 36 28
8 12 373
7 37 481
32 22 399
6 12 263
34 4 235
22 17 306
13 38 256
11 39 60
24 28 429
7 40 174
17 37 259
17 34 413
13 23 161
2 26 182
10 11 56
23 37 239
39 30 345
33 15 33
21 28 130
27 20 134
26 8 232
36 5 134
25 40 61
33 26 126
31 3 152
15 9 58
39 2 8
25 30 407
26 17 162
31 22 371
10 3 429
4 10 420
37 17 333
27 25 145
7 19 264
13 15 332
5 34 409
1 26 51
31 1 165
39 18 351
19 37 433
10 14 467
27 7 126
18 39 83
26 24 201
23 8 197
34 20 82
33 2 51
16 24 234
18 34 492
22 1 249
34 22 36
39 4 154
12 27 449
26 20 302
33 23 336
15 19 307
12 28 294
7 33 299
15 11 194
13 22 231
21 26 315
1 11 305
23 4 57
39 35 339
25 18 256
12 8 338
32 35 473
32 40 65
2 1 18
38 6 337
32 11 451
20 14 404
4 33 457
21 9 377
36 18 22
38 8 88
1 29 390
10 24 373
32 12 355
2 20 183
21 16 251
13 17 399
26 2 379
14 1 419
12 2 141
34 2 446
28 10 196
22 2 472
1 12 334
3 27 145
33 24 165
9 25 6
32 15 424
17 32 409
18 7 495
22 24 167
40 14 24
30 15 150
15 23 365
34 3 272
2 23 303
31 27 106
5 28 480
1 38 309
20 10 106
1 3 256
19 35 345
17 15 354
39 13 3
31 29 16
31 33 387
12 16 63
28 9 465
14 16 71
9 30 284
