7000 15000
5834 2412 417
2877 2615 256
1551 135 393
2794 3824 56
2318 1114 389
4482 6562 43
6056 1163 179
6541 3654 500
3444 7 459
596 6703 178
4546 5302 21
6712 5672 104
6449 76 217
5333 1001 385
1557 4230 216
4645 2524 56
2014 2836 91
89 6650 401
2113 2120 385
1136 3262 46
320 3605 102
3203 6484 460
2645 5876 243
3850 2550 142
30 455 462
2206 6192 439
1599 2967 66
5506 5076 33
2681 1475 403
687 6416 32
5048 5655 159
4460 2427 52
6690 981 93
153 6882 313
71 4996 364
4007 916 406
2680 2661 156
2857 4709 196
4504 334 446
1242 1276 11
632 3171 387
1644 2289 463
3909 6218 460
2471 4047 423
290 690 459
5549 4009 454
3678 81 346
6195 5894 87
4593 3423 483
2699 3547 242
108 1818 447
3132 3158 63
977 5465 61
4283 235 69
5156 3311 91
764 5322 132
5855 6579 16
3083 363 484
905 3966 216
1646 627 98
4165 2505 472
583 1463 172
5553 4529 301
1503 590 49
1573 5519 306
5735 3680 344
1965 4328 147
5343 1279 95
2639 2497 14
2248 2966 430
1170 5670 376
80 5636 230
6333 454 41
26 267 441
4668 1762 154
1206 2235 216
5886 4262 82
635 4749 346
4589 1599 318
1225 3472 211
6049 1014 83
1851 332 46
6026 3863 365
3015 1937 335
3157 666 360
4888 1780 226
2223 4107 114
6837 4604 68
3645 1595 421
3978 1316 416
1155 4006 324
6511 419 409
1384 3537 268
1337 2719 298
2333 3138 485
3286 2157 105
6601 1474 92
2126 6465 218
6848 323 171
202 4752 376
5980 4612 440
1304 38 209
3309 1212 122
2409 645 226
6674 2656 366
881 2503 238
2247 4775 159
1863 6980 23
6782 3272 64
5544 4550 261
876 1609 467
4839 593 227
488 2267 393
5960 1404 79
2906 13 364
4081 2519 375
6201 3982 15
4545 4344 337
6567 6449 140
2428 4963 91
1591 3661 200
5254 1401 453
2045 5342 162
3022 4891 417
3827 3219 421
4935 3343 204
2052 3531 69
697 2736 171
1168 3319 379
6815 3886 369
1882 76 26
1777 1104 253
606 1799 453
5201 2132 449
3336 5984 187
6524 2297 174
4216 2833 270
95 1373 392
614 4697 265
1873 3186 439
3105 304 155
6756 2403 351
4817 4383 482
245 4139 36
6053 1165 303
6587 2587 482
3027 631 474
5882 5056 106
5039 830 85
2615 6118 400
4603 3432 349
1232 744 405
3926 1731 110
2788 2860 182
4814 831 275
1193 4412 291
333 5839 341
3654 1767 204
3838 740 72
2032 6478 329
6866 780 291
4506 1174 410
4073 3212 114
746 568 373
5310 4562 423
482 4192 430
132 1457 463
2361 6822 76
6789 6530 88
5005 1675 78
5280 31 234
2228 3221 205
2640 1350 189
118 645 328
4317 4944 438
2059 6300 137
6089 6716 170
43 2290 340
2054 1907 430
6762 4091 205
4790 1035 444
3057 5798 405
5141 6905 42
1891 6908 9
3313 6780 299
6143 6053 134
