3000 8000
658 2822 291
1178 1684 89
1318 2368 272
1109 1043 178
1466 2349 161
1497 1183 121
2501 2783 334
771 2053 427
2315 2657 178
2645 2371 228
1335 797 409
136 1288 86
1742 2955 326
2394 1016 23
2007 2458 428
596 400 206
709 470 45
1822 63 126
2922 2315 464
662 831 1
406 1250 313
2025 2257 430
1471 2418 166
2245 2609 252
1443 11 500
2408 561 362
26 154 280
585 1125 140
606 353 202
2062 2227 469
2274 3 163
1266 2156 111
197 138 28
1373 2350 160
1224 2467 13
1079 2494 391
2625 862 9
741 2512 204
2027 798 475
145 474 211
1373 1 301
2562 2832 367
1282 2696 73
529 1117 140
1156 1614 115
899 265 264
1536 2136 5
1527 1014 78
1171 1626 44
1880 340 372
2278 2744 481
2710 1873 347
528 1327 261
2523 702 168
396 1698 336
2973 2346 315
819 203 339
787 2316 7
985 2845 231
2983 435 225
339 160 434
749 907 148
1989 2817 100
437 1786 281
1283 2485 494
1284 1836 351
1565 2927 71
1898 2924 351
1566 2165 58
203 1279 7
2734 1502 464
1848 2685 223
1856 1503 155
2225 2751 133
2596 2297 292
281 2579 158
1302 1046 343
2285 1462 419
2740 1557 496
1849 185 380
1448 2226 207
1330 473 187
1128 1338 38
491 1841 310
2917 2103 393
2540 1750 117
251 2639 269
801 1533 111
511 2164 50
2924 1700 51
1973 1083 412
2072 1592 426
752 1183 479
1137 747 428
1256 2105 463
2251 423 118
1988 1224 150
2768 6 112
2947 1805 50
367 277 229
776 283 116
125 2662 5
1127 957 112
2287 1574 304
1819 2498 112
1666 2143 393
591 1546 150
2593 2651 412
2404 1387 213
872 1920 359
2652 2575 444
737 1192 457
2227 2853 56
2420 2598 167
1833 2201 437
1181 2393 72
2411 1865 153
748 1657 86
99 2160 87
1018 579 223
2575 303 376
19 2387 358
1901 1940 221
1509 1129 67
1109 671 100
1057 757 290
1747 2660 451
915 1717 290
544 162 111
391 804 149
1180 716 214
2965 617 176
2217 1000 297
610 2763 463
2293 405 45
2935 2302 283
1551 1771 397
557 34 44
547 641 87
2345 2500 46
2533 2300 238
772 1646 404
1351 687 206
1504 2283 106
1589 1540 267
1503 930 203
1952 1925 404
1101 2000 184
932 1198 490
2380 2142 259
1125 52 148
1279 627 29
693 548 218
448 823 159
186 1744 176
2165 8 148
1985 7 22
1903 2407 393
1252 2912 309
775 1283 293
878 92 309
594 717 306
1576 2763 22
1157 2665 414
2463 2003 151
482 383 56
1208 725 161
1328 1996 314
1732 1785 317
978 2294 117
2246 1272 6
168 343 416
2003 1585 396
1122 810 323
574 262 182
1222 2442 181
774 1839 331
569 230 324
2550 894 364
2091 327 70
2406 1590 355
2386 2551 71
1096 1285 162
1537 325 160
2311 970 363
2995 1001 18
2979 1080 66
2129 1772 345
2269 2640 211
786 1098 114
2453 703 361
2700 1706 343
848 1789 64
458 314 260
1181 2612 96
1622 2421 106
99 277 497
2356 714 213
736 2204 173
2137 824 7
2738 1293 69
2113 1571 209
210 2222 9
838 1819 482
1972 2107 405
2312 2274 100
1407 1610 84
1098 1390 296
22 2445 128
323 107 353
2426 516 437
902 317 366
2609 824 436
2280 1226 407
2900 1466 379
343 2057 273
735 2626 183
316 1993 296
2400 858 34
2704 2622 170
2857 2082 134
1378 1389 312
1846 2511 207
2700 2841 448
1236 1406 85
2469 2171 18
317 2414 250
2721 2611 56
789 405 160
642 1947 42
326 2004 409
794 155 65
2337 423 236
1627 827 247
1694 1227 86
2189 384 112
1913 2794 217
2527 63 470
1060 2149 400
1172 2118 122
660 1807 426
2038 2174 215
884 224 98
39 106 312
2327 1516 426
1596 368 98
2082 2075 364
386 2944 314
499 555 402
2244 1878 257
2377 711 458
2411 1804 347
2493 2212 496
2607 1538 28
581 2226 258
1847 2048 140
2755 151 431
2757 712 154
503 2113 229
2798 477 208
2508 2340 163
467 132 134
1314 2460 401
2172 1860 411
296 1822 486
750 1333 492
2227 2582 194
890 2918 82
305 709 54
1208 2665 46
1628 1470 465
781 50 318
2786 1820 346
2697 594 165
1428 704 92
2453 647 56
2958 1651 216
1360 945 229
2537 536 456
1345 609 452
300 2246 169
713 2122 424
2503 832 336
681 2760 437
1465 2974 272
961 2727 54
1932 2375 472
45 655 475
2813 143 14
2856 1136 105
532 2676 436
180 450 414
2009 2562 70
1287 11 494
1386 2548 65
2367 2315 31
240 2819 375
2891 2904 304
1536 2377 449
1207 1350 41
2246 1445 342
1818 960 227
2024 2036 392
165 1954 302
1350 1597 358
2155 2142 292
1371 205 288
2545 1546 386
1912 1277 238
154 2013 63
1745 145 345
573 2413 451
1993 867 447
1604 891 226
2177 2667 401
2467 2746 210
1604 2681 370
648 69 93
2755 2126 383
1797 727 34
1977 718 402
944 725 145
2931 97 9
108 546 166
125 2150 413
815 2561 145
120 884 92
1147 2097 164
1793 957 312
1403 901 374
2621 1419 162
244 1031 311
70 2498 45
2612 523 362
2583 2489 106
2091 1727 317
2537 465 325
2910 833 52
2224 1464 16
1163 2229 266
907 2505 393
820 1859 313
2074 838 493
718 1450 64
1132 1569 356
1438 2506 119
2231 2690 45
1169 904 275
2823 1941 6
668 604 101
1328 2590 72
1903 1367 187
513 1429 480
372 1533 342
1732 623 439
1573 902 364
1998 320 229
1017 382 292
2675 1492 451
574 1589 306
2435 2765 92
2204 764 227
2986 1076 38
161 897 358
1962 1123 325
2872 628 210
225 1108 340
1928 2072 363
923 1201 188
865 532 428
235 2007 1
1674 544 32
2976 2584 84
989 1701 443
1781 1959 409
259 323 65
2195 257 101
2373 1295 193
306 1627 320
2866 1500 185
579 2961 329
582 2300 484
1981 2217 163
2068 343 27
2075 2044 288
1364 465 168
1399 2295 181
1480 773 48
12 2049 253
1654 770 354
867 1804 494
1547 2607 13
1646 682 95
696 477 486
1336 741 14
1029 1541 52
2650 1480 120
133 937 52
2991 1581 377
2411 198 160
2316 1029 85
332 647 40
693 620 430
2590 2690 428
694 1058 451
2780 2681 96
1473 2028 181
2277 2133 487
359 210 5
443 2361 107
1705 536 242
1391 2150 130
1333 550 294
1436 53 91
1697 1630 91
292 1000 475
552 11 216
784 2665 121
2973 1175 156
2020 1536 399
1473 1217 29
510 1948 468
1097 1893 277
560 1007 329
2529 1669 126
1846 2567 72
2878 1060 416
136 138 139
1174 1258 65
2187 347 116
2808 1700 40
37 744 292
1379 2692 163
2262 2362 342
1317 2646 385
2176 2683 71
2719 2070 371
2875 336 133
879 2901 441
2683 2186 155
2728 996 280
2391 2426 79
2308 2423 486
255 2356 444
2936 579 21
2535 222 493
2581 629 106
2638 2113 205
2224 1296 278
903 1893 304
2693 584 176
762 917 39
1619 2999 302
2394 1838 485
2652 1701 240
1709 2846 126
1654 1366 35
333 1644 308
1093 474 268
987 1984 37
1118 2281 105
2153 1610 41
188 969 268
741 2158 27
1009 1311 31
1481 1476 79
99 148 176
2144 1731 287
1249 2364 223
2209 1201 129
2309 2147 400
2454 2056 184
2030 97 491
297 2984 430
2428 1394 157
187 976 366
2243 1289 207
744 1024 472
2855 2118 230
1539 2962 419
1067 782 105
171 2684 415
536 1634 212
1026 1302 430
2308 2404 319
1600 1750 206
941 349 98
2388 2451 228
1515 1860 101
2711 90 279
2196 1679 256
1534 2728 40
1377 2668 383
641 245 488
531 1996 206
1220 1088 229
1030 525 380
524 2263 370
1535 752 8
1653 859 242
2261 981 123
2510 902 109
733 204 12
701 826 445
1760 743 89
184 1308 115
2648 2504 55
1898 1986 239
653 216 211
2949 2675 28
330 2409 104
258 100 304
2752 2563 450
140 1888 487
212 462 470
115 1659 206
706 1575 296
1754 2461 379
2722 2366 112
1354 887 19
2001 2224 413
171 1138 204
1835 2396 26
2480 2441 115
2625 1908 11
2514 1630 64
2358 1029 382
2770 919 250
1426 1423 486
2032 377 161
2090 873 13
2616 2746 42
579 1329 423
1226 2597 348
2007 153 111
1601 1541 68
272 1078 378
2182 1286 351
1520 2137 140
781 2480 389
183 2263 433
2528 2551 110
467 2991 340
892 278 143
1576 1951 183
1536 1127 383
2244 458 44
2013 306 413
1757 2417 490
1734 1675 3
