1000 2500
393 937 86
362 404 203
354 101 53
815 23 110
458 584 336
136 381 6
284 828 182
767 268 301
122 632 389
603 141 206
403 657 107
41 175 291
67 889 374
100 656 231
66 68 131
175 252 66
252 304 459
304 416 115
671 606 83
452 418 336
687 717 379
642 33 35
324 347 318
454 698 69
412 497 422
826 382 496
282 436 218
857 697 69
110 939 383
974 445 392
880 792 170
857 98 468
109 525 449
703 321 296
955 173 218
687 360 271
275 546 424
718 983 368
310 611 152
232 923 144
252 746 20
56 763 339
724 529 109
81 721 465
456 233 485
423 532 346
939 452 359
910 312 429
155 315 135
650 414 67
148 132 148
308 177 407
855 155 96
999 671 280
873 896 319
669 999 107
880 22 208
343 860 292
222 932 370
372 264 299
216 411 357
498 341 112
411 17 12
721 427 130
501 701 160
724 454 362
617 326 189
231 507 118
224 52 107
600 400 220
348 365 95
883 259 115
639 192 76
291 824 37
872 984 133
126 827 338
158 222 332
723 646 28
735 108 378
134 523 420
313 311 260
816 569 150
666 934 414
321 582 24
558 527 192
635 705 105
678 53 137
747 312 290
577 634 477
342 429 101
201 352 46
297 699 317
303 37 297
452 407 6
525 208 161
430 590 270
184 195 272
881 317 319
364 760 369
845 448 275
471 406 14
740 97 334
854 691 482
488 316 171
188 761 366
996 835 107
607 86 370
688 925 227
604 675 437
480 742 389
549 23 43
853 741 437
335 349 204
994 737 299
992 981 394
64 553 3
763 806 227
590 127 76
283 226 124
670 887 306
16 534 7
167 401 330
803 606 157
471 986 407
915 386 1
10 994 168
789 237 5
359 341 370
223 159 207
406 180 318
477 906 111
748 39 446
249 417 27
723 593 332
228 37 314
784 926 464
322 293 70
402 909 22
946 290 186
704 856 224
291 677 111
797 243 234
652 260 43
510 150 77
741 604 213
992 677 418
224 865 48
931 186 399
271 866 213
295 912 412
408 599 231
464 834 234
228 505 147
705 151 124
244 999 63
623 517 469
731 296 295
509 367 274
642 287 299
852 223 104
129 327 299
611 683 283
330 590 250
505 312 342
693 396 360
365 785 264
974 395 190
546 642 38
146 53 277
55 221 60
695 286 165
925 794 1
547 54 458
243 789 450
958 122 433
582 654 364
570 372 437
626 909 184
945 874 283
201 681 385
945 922 222
647 180 186
876 971 475
353 219 387
925 756 458
926 191 326
691 762 74
831 325 178
496 577 257
748 541 422
702 624 364
990 572 114
399 325 55
887 531 107
485 794 71
