200 600
125 104 16
50 177 124
77 161 358
36 152 498
110 74 86
36 162 465
5 117 382
114 68 428
94 115 293
85 118 299
101 148 143
27 69 89
135 142 110
147 125 7
25 32 489
106 5 325
89 168 222
178 153 353
4 88 307
43 175 121
167 117 184
120 173 439
75 189 304
20 38 27
142 189 2
4 176 172
17 173 200
89 172 279
97 71 170
46 155 343
108 168 338
68 86 247
159 94 242
90 89 88
96 57 106
124 118 400
143 19 128
46 63 152
10 142 102
197 73 301
69 179 124
45 166 49
40 154 194
184 42 32
61 105 131
76 117 99
104 74 81
59 64 194
152 158 158
93 114 486
143 102 190
59 27 42
4 119 263
185 2 452
148 26 274
88 45 413
18 143 266
51 174 33
67 118 49
18 39 497
34 22 251
121 193 72
182 17 299
98 154 136
154 146 426
190 144 55
153 148 57
99 199 27
199 172 159
109 10 424
37 118 157
49 185 482
3 45 287
136 89 467
24 122 158
98 81 438
176 81 51
81 95 19
35 65 488
108 11 377
164 76 204
159 133 76
85 61 479
22 40 429
166 69 107
149 200 417
150 27 266
3 19 300
128 104 6
199 28 62
78 84 151
91 24 393
171 190 54
192 103 232
83 140 446
35 102 354
196 44 233
152 185 76
127 192 372
67 200 220
130 147 478
160 181 329
197 192 479
16 40 118
6 51 248
148 100 293
128 73 286
187 90 124
125 138 5
109 129 442
176 197 318
66 165 84
23 113 442
169 61 44
52 44 244
28 60 54
83 115 19
82 154 50
168 171 267
198 81 87
106 168 283
130 178 365
74 46 267
157 180 53
185 130 479
127 8 109
176 145 450
53 187 138
195 167 160
114 119 56
84 69 93
24 137 193
158 151 166
38 123 83
83 24 399
82 84 298
92 40 475
6 45 306
51 37 204
108 50 460
174 96 214
143 115 128
51 181 326
54 52 132
4 9 113
159 104 63
7 69 487
106 30 148
24 163 39
189 79 313
109 186 134
125 78 209
133 198 457
155 126 120
178 9 23
97 51 393
178 23 494
128 17 262
169 43 492
32 152 16
179 124 201
122 124 301
92 48 65
91 10 33
26 18 332
196 22 337
12 58 354
196 95 412
170 134 411
27 3 41
198 85 364
119 48 66
149 170 14
15 105 431
127 165 302
136 143 133
111 161 58
15 109 271
170 64 334
112 164 429
194 38 61
5 94 84
191 110 327
97 5 78
35 50 279
195 83 413
15 37 496
171 45 151
37 188 88
77 65 497
197 40 253
55 96 166
126 101 105
136 128 497
104 18 413
11 27 94
47 11 123
35 55 270
190 182 484
110 89 318
79 53 134
44 13 315
67 170 214
127 44 294
171 80 20
190 122 484
59 62 151
144 152 499
191 97 497
121 141 419
188 199 97
120 190 58
192 155 11
161 151 485
160 23 19
32 176 130
13 171 150
91 40 277
25 81 244
29 193 103
147 113 274
180 169 433
102 121 56
39 8 162
121 105 26
28 26 34
94 154 404
17 69 74
68 66 443
178 149 414
99 132 296
81 10 298
76 174 402
137 19 411
9 109 381
17 109 40
87 114 374
187 110 197
39 126 377
15 78 498
44 32 58
101 159 31
165 32 303
185 109 239
147 170 306
114 81 190
63 183 18
124 126 264
179 161 376
59 54 283
41 23 464
38 103 300
92 55 318
174 128 383
131 150 51
170 1 270
7 128 333
46 147 268
63 2 291
59 22 181
2 152 488
19 177 386
26 84 363
100 154 65
33 120 341
194 94 117
168 12 209
103 189 11
18 1 239
192 126 445
171 61 11
52 80 361
15 102 242
194 60 100
165 116 196
19 95 452
186 36 387
120 69 295
59 189 427
100 118 6
196 141 443
195 180 204
117 101 379
183 23 108
151 141 282
91 127 206
108 103 222
7 147 186
70 115 195
117 82 361
36 160 78
76 151 473
161 11 210
140 163 224
98 61 88
96 145 259
37 107 221
183 142 226
111 15 223
48 35 497
43 100 36
115 146 377
63 149 454
199 8 17
200 163 491
17 36 156
3 170 202
87 165 60
6 80 485
123 178 246
182 88 183
121 2 110
9 182 438
170 75 314
134 189 119
71 41 201
109 3 212
155 62 150
193 163 386
168 78 333
90 114 392
12 27 193
44 89 92
13 88 53
53 118 314
187 53 68
8 99 264
115 57 32
53 15 270
65 200 456
67 101 340
192 43 148
75 197 221
107 99 280
173 168 237
86 110 456
86 131 10
166 129 272
195 140 76
101 198 198
87 2 389
45 103 69
157 90 253
25 114 444
56 105 459
195 29 445
136 94 321
68 45 174
118 53 212
51 26 231
23 136 435
135 152 98
39 85 68
54 142 329
125 12 454
180 192 194
117 129 383
116 66 349
159 79 313
31 12 182
84 116 47
198 114 225
64 196 202
109 66 408
161 6 60
26 103 260
197 72 95
84 138 44
52 141 142
31 6 392
99 146 326
189 155 187
175 127 198
11 134 204
150 7 239
95 118 139
39 129 219
163 128 365
195 100 432
5 72 357
163 34 473
66 15 116
16 60 236
98 60 451
35 94 35
124 43 484
2 140 323
163 48 81
27 173 241
45 153 496
8 108 253
197 71 197
8 20 408
93 94 116
87 128 62
168 23 356
18 70 346
151 139 235
158 31 338
155 28 375
52 98 254
57 27 268
155 98 85
121 69 250
16 96 416
21 131 105
61 113 180
60 181 468
94 48 439
200 185 235
44 122 452
24 102 160
134 11 58
66 113 436
142 147 46
2 17 483
13 181 413
31 52 442
139 89 89
194 97 402
197 114 473
189 106 213
155 193 273
134 113 433
56 39 390
143 24 434
168 200 59
164 198 280
84 48 111
65 151 263
146 106 435
82 21 265
35 187 74
26 82 103
31 137 495
191 106 170
71 66 154
95 59 50
192 119 344
183 109 414
172 132 7
170 10 411
30 12 178
191 81 117
27 180 46
59 48 103
190 15 324
170 44 493
25 151 111
78 15 232
118 153 278
13 100 275
150 85 89
111 2 310
143 154 375
39 100 167
193 19 327
187 113 280
109 151 217
45 142 158
58 39 267
56 104 294
19 171 399
156 9 81
40 197 52
22 153 93
18 52 422
119 28 304
4 58 371
47 175 133
179 1 131
186 108 261
166 182 393
181 141 71
195 3 344
31 3 223
87 22 11
195 111 406
15 1 360
145 114 332
191 130 422
197 159 488
184 63 464
175 33 277
153 124 474
51 10 107
1 200 468
178 20 307
148 33 113
187 141 345
111 107 106
114 80 214
67 164 160
23 10 151
185 76 113
101 31 231
55 72 25
78 120 117
104 196 473
145 24 316
75 133 358
142 74 139
169 162 45
139 59 127
104 47 469
137 31 331
9 107 173
63 60 356
131 26 416
30 74 399
192 87 90
91 110 400
133 186 344
131 115 269
98 125 91
183 82 132
17 114 173
137 46 368
2 146 157
103 168 438
187 178 497
133 112 37
69 187 402
25 95 217
148 93 397
198 28 146
145 13 415
79 32 263
114 104 118
110 91 411
1 149 361
149 91 44
99 106 452
58 114 154
143 17 402
169 35 122
14 6 90
34 114 413
109 40 72
103 166 280
110 133 346
131 51 95
93 112 196
186 32 138
125 176 174
3 84 420
130 101 493
84 55 251
74 17 404
14 25 118
54 85 340
21 143 433
69 163 37
65 54 285
43 153 454
194 8 212
33 139 88
68 188 301
150 5 260
165 156 123
129 78 132
28 154 314
57 115 360
110 109 494
182 107 436
177 158 89
160 20 285
184 71 411
200 115 342
12 156 256
23 49 479
149 81 22
179 16 135
189 111 339
98 200 376
117 107 343
141 52 480
139 165 437
181 2 432
37 35 52
37 19 112
69 80 381
54 180 304
92 176 355
46 194 89
16 91 175
72 35 138
19 51 449
157 145 308
32 65 484
97 12 308
77 43 342
8 134 293
148 5 369
94 164 435
100 200 312
39 131 491
20 102 74
117 133 496
13 91 51
