2000 6000
530 618 217
1213 1632 18
5 227 412
1740 811 460
786 402 402
672 1857 433
639 1824 113
606 299 2
623 1348 112
1685 862 411
1370 1664 155
1899 1942 202
1872 1676 352
1787 592 8
1186 550 162
1657 220 304
1608 974 361
1923 546 480
770 892 500
1905 1153 73
116 215 489
943 1483 18
1220 163 473
780 1293 164
354 1560 359
1729 1976 401
1821 879 299
428 308 29
1365 1744 402
946 814 122
1193 1198 192
1068 343 21
1510 857 162
1488 718 278
1443 970 358
571 1226 74
1693 1237 282
1485 1018 491
1511 95 403
119 727 493
1505 1674 466
1349 759 462
75 157 418
1462 1060 189
1996 1163 285
784 1556 182
828 49 380
618 81 18
1876 823 58
425 1370 99
342 96 270
1397 1621 362
1589 503 395
812 1444 304
1190 1398 103
970 1065 423
387 692 223
1702 1282 467
227 574 473
1477 181 478
1918 1030 477
361 329 19
1594 33 129
1773 1146 487
855 516 44
1134 974 83
698 707 119
329 688 237
51 1592 328
1984 1970 432
560 300 35
800 161 90
925 769 465
1206 1968 199
1236 611 437
1461 294 235
1954 894 360
960 741 249
643 1441 210
1041 593 353
551 1865 163
821 1152 339
1023 1557 95
1266 1067 380
1565 290 137
1195 1002 127
596 1459 294
1108 863 206
1033 1037 29
1992 1191 479
60 753 387
879 102 326
573 893 21
1608 863 290
1910 1140 93
1329 1957 142
1387 466 322
1615 119 8
83 8 66
204 1732 416
604 577 103
1760 979 274
1473 1487 11
1250 1217 256
811 354 260
958 560 376
332 1931 184
591 293 202
728 1423 228
899 669 458
1090 862 390
87 1156 186
778 474 321
559 1354 8
1733 784 282
593 1291 426
917 1375 34
1475 276 309
1543 306 62
1956 374 147
1693 668 421
1597 208 306
1025 1347 333
1688 825 81
1063 214 406
1375 1701 488
220 975 399
1958 572 356
1557 361 432
1059 1893 24
247 397 495
779 816 72
1113 294 180
1611 1236 136
1129 1925 226
1068 36 461
1561 1975 202
207 827 68
235 1629 304
692 1095 228
525 306 498
137 1759 378
1150 308 352
48 1110 375
703 288 269
306 146 107
1351 538 498
73 1235 147
1855 1692 222
719 198 243
1179 736 307
736 1639 41
948 559 287
475 809 169
475 833 251
112 1498 38
42 827 288
758 286 84
866 880 45
1760 512 414
105 1542 219
1934 409 332
1582 723 176
1766 710 83
1618 1417 385
1388 1198 267
1403 512 468
228 1806 166
1680 665 248
337 1867 398
342 1895 139
1773 1624 486
301 1540 298
194 306 367
1777 719 10
55 1969 32
1154 927 481
129 1611 277
1890 501 420
1127 1441 494
547 239 240
1805 330 239
1745 833 49
1385 319 155
186 1350 249
1980 781 353
386 794 370
222 136 404
419 1216 279
199 890 100
448 1372 451
955 721 448
457 61 271
1494 823 55
1131 8 76
1054 568 77
96 81 314
1021 1849 369
1411 861 476
19 1042 356
1762 634 109
1302 1041 381
1397 1557 480
551 369 33
1853 545 275
1312 1220 172
1046 1730 145
444 1189 61
1277 1668 27
1336 1931 131
431 1497 388
366 709 196
1543 1395 66
790 75 301
1544 559 205
53 590 288
1078 1016 135
971 293 454
776 1922 89
843 1307 246
1066 268 61
73 800 52
1404 475 120
607 117 274
1902 1095 208
1027 310 9
630 386 327
1322 462 413
664 1591 291
1541 1901 434
520 514 158
881 1001 500
1783 1300 257
1638 1927 366
433 1022 301
1068 1180 133
664 386 279
220 1821 106
1527 211 251
838 9 281
313 904 37
1680 424 392
1414 319 335
1606 1241 497
1026 256 416
980 96 174
457 1921 95
1356 410 294
1169 1040 7
529 1144 380
998 435 337
766 907 25
838 1991 149
533 1369 85
431 1141 4
132 262 287
1327 555 370
748 31 326
455 75 392
451 718 184
1732 673 316
1758 1505 456
818 1176 245
839 1417 75
1318 974 384
1736 85 320
656 780 446
404 1696 245
964 1246 65
1727 1028 484
1579 1195 272
445 308 130
30 1762 365
1073 1322 136
383 303 24
1861 723 265
557 110 342
685 193 68
1850 1857 254
262 1453 306
531 403 491
198 1583 356
581 627 106
1824 784 165
