1500 4500
465 258 381
966 716 287
792 737 360
397 769 79
1493 155 43
358 553 377
292 83 179
399 914 50
1476 1049 426
352 1111 425
120 414 178
537 1021 422
1025 1464 308
87 679 35
726 756 223
1380 166 53
605 557 444
1353 1096 165
254 959 70
1360 716 352
486 865 446
148 1278 461
1475 1225 61
993 1460 208
90 170 252
69 1170 424
574 1086 215
345 1383 498
1485 1496 189
667 537 346
947 657 404
1095 543 321
536 708 165
1307 453 416
1357 94 239
832 186 424
351 3 313
784 591 310
1062 318 370
745 588 228
1340 538 107
1423 158 29
1025 1168 97
504 806 335
1353 896 125
391 675 360
1238 959 2
1030 1141 329
618 99 31
1117 66 458
1304 1348 84
816 52 42
1231 275 262
312 512 384
286 482 472
1097 1306 368
825 371 143
1087 1418 308
768 1287 248
1369 1175 167
1378 1345 99
588 49 69
1471 1141 465
903 569 34
474 697 485
388 511 40
690 877 19
328 1273 152
1152 337 349
1347 644 122
1479 743 402
810 259 128
350 1300 382
854 1388 111
210 1162 351
798 454 233
461 976 483
390 1229 239
564 770 315
82 1256 317
879 640 453
394 1025 147
211 999 84
290 1138 11
125 58 201
1448 882 159
507 1164 302
1317 1175 302
836 121 52
1329 740 398
113 821 129
551 1283 136
1123 654 170
355 414 325
692 485 288
1333 1202 460
948 296 359
1031 612 404
136 790 128
372 837 148
551 569 188
674 1476 489
679 1185 401
1482 498 270
1217 1079 327
151 512 415
625 1457 104
234 523 488
1149 1271 485
455 764 135
1351 1356 431
1075 37 277
1183 1404 455
1333 747 248
38 1333 472
1231 890 51
226 284 366
480 547 344
341 1392 269
1349 1058 14
580 1395 162
13 784 325
1324 1115 148
592 521 303
912 1263 118
360 336 42
99 567 346
276 233 493
1112 543 26
103 817 295
907 1042 286
650 866 451
1075 154 37
94 144 87
87 824 137
231 246 179
1105 779 1
981 614 192
1286 1080 276
558 1318 253
661 1395 264
194 1495 243
927 5 24
827 808 206
850 507 228
360 1417 52
146 577 482
1326 939 379
765 1295 497
141 1458 161
630 1405 460
932 577 317
502 794 142
1481 874 266
1218 65 391
315 120 415
1041 91 258
1159 812 344
1395 85 285
1205 1091 499
916 668 364
164 130 47
46 808 201
1004 1369 185
162 1129 365
169 958 216
1003 1425 321
567 738 417
1310 768 412
1125 723 275
738 832 347
1244 597 102
613 1342 283
1219 432 116
1338 162 411
696 762 103
224 493 181
1329 592 201
226 1159 137
382 366 61
382 1284 95
1130 825 292
934 795 138
1352 152 454
1372 150 339
192 206 441
174 107 196
1010 594 109
1446 104 238
1153 56 14
965 659 90
1404 731 346
1098 64 310
823 428 302
930 1037 177
743 266 327
1119 1306 8
237 1059 139
1246 407 268
1084 1115 215
1044 305 286
721 201 40
965 979 285
1125 1064 233
529 814 411
1379 570 270
342 586 281
355 1459 205
1137 601 437
176 1466 109
71 1280 412
902 199 252
589 219 296
151 1147 313
1030 811 209
471 536 209
720 1223 354
226 1081 382
637 842 429
891 139 104
203 844 76
173 649 338
945 259 422
1201 478 368
888 1283 211
111 1029 17
1034 412 202
835 1228 7
430 1077 133
834 1040 49
817 310 204
880 276 338
1060 524 357
407 942 27
1083 1264 371
926 1073 125
1007 757 465
684 647 425
765 555 486
983 1249 232
337 491 413
5 841 71
881 587 217
757 341 416
68 1108 448
1498 677 16
216 930 349
567 96 165
467 748 45
165 1454 214
977 67 365
1008 100 132
313 287 88
918 1382 211
1348 736 487
443 1340 72
595 144 91
692 363 353
360 675 340
1176 1487 110
1240 802 319
1066 1199 27
1260 1172 26
1292 587 314
1393 642 371
1375 781 20
791 119 420
1348 585 403
604 1442 161
1464 214 216
1366 594 32
913 1208 482
1401 1416 211
661 223 472
1335 529 380
738 432 162
209 678 472
314 317 362
879 448 274
1051 1042 323
941 1077 447
1177 1234 61
20 646 433
317 1494 99
1132 604 231
1395 345 495
1075 1460 16
879 964 145
1012 427 444
907 860 16
956 1089 437
1471 286 420
162 651 306
702 1325 68
976 1147 428
584 1280 250
